Translate this word : algorithm,алгоритм,войти,архив,прибор,1
Translate this word : hardware,программное обеспечение,оборудование,клиент,защита,2
Translate this word : program,компьютерная программа,данные,прикладное ПО,программа,4
Translate this word : computing,алгоритм,вычисление,пользовательский интерфейс,движение,2
Translate this word : link,оборудование,графика,ссылка,вступить,3
Translate this word : text editor,текстовый редактор,печатание,интернет,исполняемый код,1
Translate this word : software,сервер,библиотека,имитационный,программное обеспечение,4
Translate this word : machine code,войти,машинный код,прибор,подсчет,2
Translate this word : processor,телевидение,процессор,ТВ,сеть,2
Translate this word : graphics,сеть,графика,утилита,ТВ,2
Translate this word : library,библиотека,антивирус,изображение,лингва,1
Translate this word : antivirus,язык,антивирус,вступить,приложение,2
Translate this word : user,пользователь,виртуальный,предпринимательство,пользователь,4
Translate this word : tool,графика,программное обеспечение,инструмент,редактор текста,3
Translate this word : animation,ссылка,программа,анимация,ЦП,3
Translate this word : network,вычисление,оборудование,информация,сеть,4
Translate this word : technology,технология,анимация,техника,хост,1
Translate this word : web,библиотека,интернет,редактор текста,пользовательский интерфейс,2
Translate this word : interface,интерфейс,компьютерная программа,программирование,интернет,1
Translate this word : data,устройство,процессор,данные,изображение,3
Translate this word : virtual,данные,виртуальный,хост,инновация,2
Translate this word : device,устройство,сервер,сеть,софт,1
Translate this word : typing,программа,инструмент,печатание,архив,3
Translate this word : server,сервер,алгоритм,гиперссылка,публикация,1
Translate this word : log in,технология,технология,войти,утилита,3
Translate this word : computer program,машинный код,пользователь,метод,компьютерная программа,4
Translate this word : language,язык,интернет,защита,клиент,1
Translate this word : business,интернет,бизнес,публикация,набор,2
Translate this word : television,телевидение,устройство,приложение,аппаратура,1
