Translate this word : input,вставка,динамика,ввод,войти,2
Translate this word : output,вычисление,операционная система,заявление,вывод,4
Translate this word : statement,утверждение,интерактивный,техника,данные,1
Translate this word : function,графика,инженерия,функция,вычисление,3
Translate this word : neuron,диаграмма,нейрон,неправильный клик,графика,2
Translate this word : dynamic,ключ,решение,результат,динамика,4
Translate this word : combining,объединение,ключ,загрузка данных,библиотека,1
Translate this word : interactive,процессор,выпуск,интерактивный,машинный код,3
Translate this word : editing,редактирование,объединение,определение,процессор,1
Translate this word : misclick,значок,схема,мисклик,графика,3
Translate this word : source,схема,значок,иконка,источник,4
Translate this word : scheme,диаграмма,схема,движение,антивирус,2
Translate this word : operating system,пользователь,загрузка,операционная система,виртуальный,3
Translate this word : reflection,макет,отражение,выбор,программное обеспечение,2
Translate this word : loading,загрузка,ввод,интерактивное,программа,1
Translate this word : engineering,техника,инженерия,операция,оборудование,2
Translate this word : release,выпуск,изображение,определённость,анимация,1
Translate this word : bug,ошибка,мисклик,источник информации,интернет,1
Translate this word : solid,прочный,функция,макет,компьютерная программа,1
Translate this word : icon,путь,разрабатывать,релиз,значок,4
Translate this word : image,редактирование,изображение,вставка,виртуальный,2
Translate this word : channel,прочность,утверждение,канал,сервер,3
Translate this word : identify,инструмент,команда,графика,определить,4
Translate this word : solution,диаграмма,отражение,решение,алгоритм,3
Translate this word : key,определение,ключ,пользователь,технология,2
Translate this word : template,группа,вывод,шаблон,пользователь,3
Translate this word : definition,определение,шаблон,неправильный шаг,интернет,1
Translate this word : develop,определить,разрабатывать,код,бизнес,2
Translate this word : command,устройство,источник,разработка,команда,4
